# SIMULACION DE DATOS
# Numero de anos actual
56
# Numero de edades 
3
# Numero de clases de talla 
30
#nper  
10
# MATRIZ DE DATOS HISTORICOS 
#Yr Desemb cv_Desemb CPUEI cv_CPUEI CPUEA cv_CPUEA Bcruc cv_Bcruc Mpdh cv_Mpdh nm_flota nm_cruc
 3.2781e-05 0.000234448 0.00147146 0.00810435 0.0391663 0.166042 0.617111 2.00787 5.7031 14.0697 29.9017 54.0951 82.0063 102.207 102.429 80.3452 47.2392 18.2917 2.03852 9.33414e-06 8.76396e-05 0.000246569 0.000407376 0.000450489 0.000412933 0.000418375 0.000421521 0.000284178 4.1629e-06 2.0971e-06
 4.19004e-05 0.000299669 0.00188081 0.0103589 0.0500618 0.212232 0.788772 2.56633 7.28887 17.9795 38.2015 69.0798 104.644 130.241 130.138 101.327 58.4766 21.7469 2.27236 9.7233e-06 8.71005e-05 0.000239999 0.0003991 0.000473672 0.000562741 0.000769312 0.000521267 0.000230909 5.13463e-06 2.58661e-06
 2.81282e-05 0.000201171 0.00126261 0.00695403 0.0336069 0.142471 0.529481 1.72254 4.8913 12.0601 25.603 46.2345 69.9064 86.8705 86.9529 68.6223 41.3775 16.9888 2.06491 1.026e-05 0.000101689 0.000295472 0.000501094 0.000583475 0.000629775 0.000789577 0.000656478 0.000306849 3.8791e-06 1.95413e-06
 2.74748e-05 0.000196498 0.00123328 0.0067925 0.0328261 0.13916 0.517169 1.68242 4.77693 11.7758 24.9903 45.0985 68.1101 84.4498 84.0953 65.483 38.1805 14.6373 1.61347 7.32334e-06 6.84147e-05 0.000192601 0.000323956 0.000399757 0.000548729 0.000861875 0.000698513 0.000331582 3.46761e-06 1.74683e-06
 1.8986e-05 0.000135786 0.000852235 0.00469381 0.0226836 0.0961603 0.357338 1.16224 3.29855 8.12403 17.2114 30.9723 46.5833 57.4827 57.0781 44.7154 26.8511 11.0409 1.35054 6.75678e-06 6.71491e-05 0.000194767 0.000328978 0.000386913 0.000450843 0.000620039 0.00060453 0.000383256 2.51287e-06 1.26588e-06
 1.8776e-05 0.000134284 0.000842806 0.00464186 0.0224322 0.0950909 0.353325 1.14888 3.25861 8.01541 16.9405 30.3609 45.3791 55.5032 54.4335 41.8285 24.2615 9.39326 1.06229 4.96443e-06 4.71962e-05 0.000133334 0.00022225 0.000269254 0.000365873 0.000574958 0.000493777 0.000311656 2.16463e-06 1.09045e-06
 1.79109e-05 0.000128097 0.000803973 0.00442798 0.0213985 0.0907068 0.337016 1.0957 3.10677 7.63687 16.1205 28.8312 42.9583 52.3218 51.0464 38.9722 22.4014 8.55486 0.950205 4.36439e-06 4.0891e-05 0.000113768 0.000184757 0.000208494 0.000239681 0.000332967 0.000316497 0.000218996 1.90258e-06 9.5844e-07
 3.42248e-05 0.000244773 0.00153627 0.00846133 0.0408919 0.173364 0.644384 2.0971 5.95974 14.7192 31.3476 56.9116 86.7252 108.746 109.36 84.996 47.7488 16.3327 1.43369 4.76347e-06 3.30512e-05 7.47299e-05 0.000108002 0.000113682 0.000116258 0.000140054 0.000107523 6.71849e-05 3.90473e-06 1.96704e-06
 2.96208e-05 0.000211846 0.00132961 0.00732307 0.0353907 0.150038 0.55765 1.81456 5.15507 12.723 27.061 49.0232 74.4797 93.1361 93.8394 74.3421 44.6208 17.974 2.11903 1.02414e-05 0.000100082 0.00029043 0.00049446 0.000555439 0.00045978 0.000342301 0.000188029 8.30765e-05 4.11301e-06 2.07196e-06
 1.68005e-05 0.000120156 0.000754135 0.00415354 0.0200729 0.0850973 0.316267 1.02899 2.9225 7.20874 15.3159 27.6955 41.9671 52.3294 52.6812 42.0481 25.9619 11.1191 1.42344 7.37289e-06 7.49693e-05 0.000221532 0.000384079 0.00048114 0.0006482 0.000999896 0.000663561 0.00013259 2.63946e-06 1.32965e-06
#Crucero historico 
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 22 43 476 1121 1360 1707 1311 997 584 543 311 260 240 204 103 182 268 147 78 34 11 1 0 0
 0 0 0 0 0 0 5 43 43 58 104 179 190 222 342 739 1032 1277 1083 1457 1120 645 498 569 288 103 5 0 0 0
 0 0 0 0 29 81 175 159 444 757 915 840 808 957 914 812 480 216 112 114 68 256 429 903 444 70 16 0 0 0
 0 0 0 0 0 0 29 63 789 2049 1865 1276 1216 1014 791 328 266 96 10 6 22 34 61 58 24 4 0 0 0 0
 0 0 0 0 0 0 0 101 104 105 255 252 888 1365 1268 696 390 279 301 840 1563 1143 359 81 10 0 0 0 0 0
