#SIMULACION DE DATOS
#Numero de anos actual
50
#Numero de edades
5
#Numero de tallas
26
#Datos observados
#Yr Reclas cv_reclas Pelaces cv_pelaces Mpdh cv_mpdh Desemb cv_desemb  
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 175 0 0 4 84 261 170 548 2058 3208 3101 2595 2217 2220 1686 1175 484 145 94 26 21 10 3 3 1 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 91 147 696 758 1255 1048 1055 1033 1392 2112 2064 1592 1173 919 495 363 360 172 101
 0 0 0 0 326 2275 4354 12700 18653 17492 13112 10572 6895 3101 861 168 78 0 0 0 15 0 13 0 0 0
 0 0 0 0 0 0 0 2 6 380 965 975 2153 2405 2396 2205 1135 661 390 68 28 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 1 40 122 171 176 2680 7004 19380 18873 15907 6454 3128 3828 2910 3437 3120 1935 1063 1427 3578 2783 1376 172 0
 0 676 4355 24187 64165 56884 16881 11949 10207 4561 4790 5331 6976 25563 21691 16925 12844 7189 11450 7204 2821 2737 435 239 0 0
 0 0 0 0 12 1113 210 5412 30872 73470 49193 30649 15725 9730 2926 1167 1061 614 21 2 5 2 1 0 0 0
 353 1158 3866 20898 54221 105092 91806 53800 22551 21185 22037 7236 1773 649 597 165 51 47 44 41 0 0 0 0 0 0
 0 0 0 0 260 309 833 3799 8641 12781 16046 18733 11517 6085 10874 22465 30622 16874 8344 4519 5655 1695 449 38 0 0
 0 2598 17347 33966 20053 16890 12740 24448 41889 52327 54073 29165 12853 7981 5027 3063 1073 302 991 730 1337 934 216 34 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
#Pelaces length simulado
 7.84707e-12 5.45701 53.044 352.496 1602.4 4985.66 10622.5 15503.9 15504.4 10624.7 4993.14 1624.05 406.977 172.429 233.557 381.167 557.499 720.641 832.589 877.99 873.064 852.539 844.639 853.988 863.244 848.072
 9.05404e-12 5.40084 52.498 348.868 1585.9 4934.35 10513.2 15344.8 15346.8 10522.9 4966.96 1680.05 585.084 567.784 982.929 1613.6 2317.37 2900.62 3170.24 3038.15 2574.83 1963.57 1393.21 971.684 709.808 560.373
 8.17241e-12 4.35335 42.3162 281.206 1278.32 3977.35 8474.23 12368.8 12370.7 8483.7 4009.17 1370.31 512.313 547.541 965.952 1595.41 2310.23 2930.67 3274.99 3256.81 2932.72 2457.16 1983.84 1592.84 1286.06 1030.01
 8.5383e-12 4.81759 46.8287 311.193 1414.64 4401.48 9377.87 13687.6 13689.2 9385.44 4426.91 1488.15 496 451.174 775.425 1281.34 1861.83 2375.92 2682.41 2715.28 2519.56 2213.7 1910.58 1661.18 1454.57 1256
 4.91345e-12 1.80839 17.5782 116.814 531.018 1652.2 3520.26 5138.27 5139.93 3528.39 1679.53 609.995 315.224 451.275 827.149 1369 1982.38 2515.12 2812.99 2805.02 2544.12 2167.02 1807.12 1529.54 1326.64 1156.84
 5.3026e-12 2.97922 28.9591 192.444 874.821 2721.9 5799.31 8464.4 8465.06 5802.55 2732.78 906.34 271.885 203.453 337.534 561.591 828.176 1082.44 1269.83 1364.51 1381.49 1358.91 1326.42 1286.49 1221.09 1112.54
 4.76073e-12 2.57034 24.9846 166.032 754.757 2348.33 5003.41 7302.83 7303.85 5008.35 2364.93 802.704 286.437 288.006 502.63 828.345 1196.62 1512.82 1682.66 1663.88 1491.42 1252.75 1033.52 875.863 773.991 697.71
 1.57298e-11 11.568 112.445 747.235 3396.82 10568.8 22517.9 32865.8 32866.8 22522.9 10585.3 3444.65 867.426 375.288 512.125 831.92 1205.68 1533.75 1722.66 1729.04 1583.21 1365.07 1152.22 982.136 850.443 734.534
 1.05315e-11 4.39058 42.678 283.611 1289.26 4011.38 8546.82 12475.3 12479.6 8568.19 4083.11 1496.37 803.23 1176.16 2154.57 3548.4 5095.76 6375.61 6961.8 6657.88 5615.63 4235.59 2932.66 1947.54 1311.65 931.86
 6.77543e-12 2.56395 24.9225 165.619 752.88 2342.5 4991 7284.85 7286.49 4999 2369.41 830.823 362.085 456.514 830.139 1388.89 2048.21 2674.72 3130.12 3344.36 3346.36 3223.34 3046.81 2830.79 2549.22 2183.21
