#SIMULACION DE DATOS
#Numero de anos actual
44
#Numero de edades
5
#Numero de tallas
36
#Datos observados
#Yr Reclas cv_reclas Pelaces cv_pelaces Mpdh cv_mpdh Desemb cv_desemb  
 0 0 0 0 0 0 0 0 2 194 405 1190 1359 1399 1657 1923 2997 4815 7586 13628 17251 13430 11325 6443 7083 3834 3644 4989 2371 3155 1409 232 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1517 1599 2127 2329 4420 5638 4504 5601 4624 4175 2448 2760 2666 2262 2247 2769 3421 4276 4685 9798 8760 12839 8411 5963 2608 862 199 0 0 0
 0 0 0 0 0 0 0 0 0 0 54 190 1128 1488 1653 1908 1499 1520 1811 1398 1859 1350 1649 1566 1583 1141 918 706 610 377 161 30 9 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 2 167 199 361 738 1269 1985 1866 1937 1968 2095 1873 1913 714 343 222 74 51 11 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 49 173 461 1293 1261 1864 1609 1509 1289 899 842 927 999 1044 1124 713 351 203 82 98 20 5 0 0 0 0
 0 18 241 314 312 261 146 112 236 286 247 167 212 198 115 91 57 58 101 109 188 372 517 835 743 453 227 113 46 21 6 0 0 0 0 0
 0 0 0 0 0 0 0 7 6 66 116 134 81 3 31 49 74 220 437 449 572 492 532 719 753 963 1267 813 495 217 120 54 14 10 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 104 112 338 402 674 766 457 1204 3602 6644 8757 6778 4857 5791 4361 4177 3476 3389 3135 1896 1536 995 855 850 650 470 350 608 657 1108 810 604 172 33 0 2
 0 0 0 0 40 82 46 146 369 2281 4004 5764 4771 4413 3680 4591 4072 2865 1932 960 390 237 672 1407 2368 3022 1806 921 486 255 79 96 16 3 2 0
 0 113 213 0 259 446 617 995 494 887 1491 2562 3651 4987 4445 4740 3691 3113 3439 2901 3977 3798 4315 2902 3450 2352 1830 1536 1036 539 183 142 59 38 6 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
#Pelaces length simulado
 3.50273e-12 0.738409 4.33263 20.5928 79.279 247.22 624.469 1277.82 2118.38 2845.73 3098.82 2738.37 1971.12 1172.37 610.16 339.052 282.513 348.638 479.786 647.143 832.497 1017.71 1182.79 1308.54 1380.53 1392.21 1346.2 1253.02 1128 987.468 845.444 711.7 591.472 486.336 395.643 317.852
 3.78853e-12 0.86616 5.08265 24.1585 93.0082 290.034 732.611 1499.07 2485.09 3338.04 3634.11 3209.5 2306.09 1363.28 694.274 361.619 274.102 322.952 440.598 594.765 767.319 941.705 1099.98 1224.79 1302.81 1327.58 1300.58 1230.22 1129.2 1011.17 887.963 767.941 655.822 553.45 461.015 378.123
 3.34645e-12 0.622219 3.65054 17.3502 66.7942 208.287 526.127 1076.6 1784.88 2397.93 2611.74 2309.26 1665.09 996.081 528.926 310.657 277.86 353.912 490.456 662.496 852.879 1043.51 1214.18 1345.42 1422.55 1438.94 1397.17 1307.81 1186.21 1048.64 908.928 776.59 656.563 550.179 456.679 374.586
 2.98812e-12 0.650737 3.81847 18.1496 69.874 217.893 550.386 1126.21 1866.98 2507.8 2730.32 2411.49 1733.12 1025.4 523.77 275.409 212.008 252.071 345.023 466.721 603.529 742.85 870.905 974.247 1042.39 1069.97 1057.62 1011.21 939.882 853.602 761.046 668.453 579.489 495.844 418.122 346.599
 1.99458e-12 0.247813 1.45328 6.90578 26.5835 82.8946 209.394 428.513 710.553 954.998 1041.19 923.079 670.971 412.182 238.582 170.873 185.82 254.421 357.757 484.429 624.056 763.974 889.554 986.621 1044.47 1058.23 1029.72 966.531 879.748 781.09 680.505 584.81 497.525 419.594 350.492 289.225
 1.78026e-12 0.385442 2.26187 10.7512 41.3915 129.074 326.033 667.122 1105.89 1485.37 1616.86 1427.35 1024.29 602.948 302.353 149.966 104.893 118.672 161.611 220.308 288.271 360.172 430.176 492.322 541.536 574.526 590.206 589.494 574.67 548.551 513.821 472.696 426.948 378.106 327.712 277.424
 1.61241e-12 0.354397 2.07954 9.88418 38.0529 118.663 299.737 613.329 1016.76 1365.8 1487.08 1313.67 944.635 559.911 287.85 154.291 122.135 147.001 201.168 271.078 348.662 426.257 495.553 548.637 579.625 585.963 568.909 532.954 484.496 430.196 375.594 324.346 278.158 237.238 200.98 168.58
 3.99437e-12 1.41271 8.29183 39.4164 151.757 473.241 1195.37 2445.86 4054.2 5444.45 5924.03 5223.97 3736.32 2174.13 1043.17 439.105 206.622 163.304 197.606 261.177 335.415 410.427 477.759 529.677 560.38 567.208 551.12 516.199 468.432 414.188 358.917 306.401 258.649 216.266 179.024 146.394
 3.65218e-12 0.576333 3.38028 16.0634 61.8368 192.825 487.081 996.772 1652.79 2221.24 2421.34 2145.76 1557.75 952.966 544.384 379.161 401.996 544.004 759.737 1021.43 1304.13 1578.24 1810.44 1969.42 2032.92 1993.06 1858.29 1650.82 1400.96 1139.94 893.808 679.742 505.412 370.658 270.364 197.344
 2.50777e-12 0.319822 1.87587 8.9145 34.3171 107.011 270.308 553.148 917.137 1232.4 1342.96 1189.04 860.872 522.084 290.302 191.181 193.81 260.402 367.217 501.634 653.85 812.253 962.98 1091.84 1186.99 1241.15 1252.7 1225.13 1165.5 1082.28 983.601 876.199 765.224 654.597 547.532 446.865
 2.50546e-12 0.572102 3.35736 15.9585 61.4398 191.593 483.951 990.245 1641.51 2204.71 2399.72 2118.03 1519.03 892.339 444.042 214.529 142.695 156.247 210.902 286.817 374.752 467.556 557.625 637.32 700.278 742.563 763.151 763.584 747.032 717.133 677.096 629.289 575.354 516.607 454.49 390.813
 1.86607e-12 0.301913 1.77108 8.41703 32.4029 101.042 255.232 522.29 865.945 1163.52 1267.67 1121.81 810.961 489.297 267.411 168.863 163.616 214.999 299.566 404.492 519.932 634.875 736.923 814.231 858.052 864.71 836.307 779.847 705.197 622.583 540.471 464.388 396.82 337.902 286.47 241.027
 2.95912e-12 0.952316 5.58941 26.5697 102.295 318.999 805.764 1648.69 2732.87 3670.11 3993.63 3522.25 2520.44 1469.13 709.642 306.969 156.968 137.182 172.737 231.03 299.082 369.338 434.861 489.029 526.591 544.669 543.209 524.649 493.029 452.864 408.182 361.994 316.233 272.011 229.998 190.727
 2.782e-12 0.538667 3.16019 15.0193 57.8202 180.303 455.442 931.975 1545.16 2076.02 2261.55 2000.62 1444.69 868.505 468.892 287.209 269.082 348.31 482.459 648.37 828.664 1004.39 1154.55 1259.42 1304.89 1285.79 1207.15 1082.56 930.642 770.639 618.554 484.94 374.519 287.257 220.163 169.072
 3.07709e-12 0.856667 5.02759 23.8982 92.008 286.917 724.733 1482.92 2458.17 3301.48 3593.24 3170.86 2272.8 1332.47 658.026 309.325 194.101 203.252 269.647 362.908 468.806 576.621 675.371 754.447 805.556 824.413 811.456 771.285 711.163 639.108 562.249 485.875 413.266 346.091 285.039 230.367
 5.37706e-12 1.63136 9.5743 45.5109 175.218 546.399 1380.17 2824.03 4681.26 6287.15 6842.58 6037.8 4326.76 2534.6 1247.78 579.73 354.044 362.105 475.163 634.521 812.463 988.358 1141.67 1253.31 1309.36 1304.24 1241.88 1134.29 998.272 851.347 708.219 578.75 467.634 375.399 300.036 238.556
 4.86238e-12 0.765175 4.48811 21.3285 82.1057 256.03 646.735 1323.47 2194.43 2948.96 3214.05 2846.92 2063.88 1256.87 707.857 478.545 494.713 664.581 928.359 1250.94 1602.24 1947.05 2245.51 2459.77 2562.25 2542.07 2407.37 2182.58 1901.79 1600.6 1309.03 1047.37 825.4 644.334 499.996 385.965
 5.13122e-12 1.21199 7.11243 33.8073 130.156 405.878 1025.22 2097.78 3477.49 4670.72 5084.1 4487.96 3220.11 1894.44 947.91 466.572 321.416 359.528 486.924 660.804 860.122 1067.62 1264.7 1432.7 1556.24 1626.09 1640.47 1604.39 1527.4 1420.75 1294.97 1158.54 1017.66 876.887 739.887 609.993
 5.94369e-12 1.33607 7.83989 37.2636 143.461 447.364 1130.02 2312.27 3833.22 5149.03 5606.14 4952.1 3560.33 2109.02 1081.88 576.08 451.517 540.678 738.986 995.458 1280.02 1564.34 1817.75 2011.04 2122.48 2142.6 2076.01 1939.29 1756.15 1551.35 1345.65 1152.91 979.814 827.453 693.803 575.93
 6.32425e-12 1.32404 7.76892 36.9255 142.158 443.299 1119.75 2291.28 3798.5 5102.62 5556.2 4909.37 3532.63 2098.71 1087.88 597.593 490.271 600.953 826.477 1115.86 1437.7 1761.15 2052.29 2278.36 2414.53 2449.2 2386.1 2242.23 2042.69 1814.26 1579.9 1355.61 1150 965.854 802.535 658.196
#Peso medio observados
 19.9 44.9 64.1 85.9 91.4
 4.4 8 12.4 16.7 20.3
 15.9 27.3 40.4 53.5 62.2
 8 18.3 28.2 37.5 48
 8.1 14.5 25.8 34.1 42.8
 6.5 18.9 27.7 36.6 47.9
 14.9 31.5 48 61.7 80
 10.5 17.8 27.3 35 40
